Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made
"Barbara Hepworth (b.1903, d.1975)",Studies for a Man and Woman,1949,20th century; 1940s,NA,graphite (mineral)/inorganic material/materials (substances); oil paint (paint)/paint (coating); wood board/plant material/materials (substances),57.8 x 76.4 cm frame 41.4 x 60.1 cm visible board,Art Collection; Edinburgh College of Art,NA,NA,EU1642,https://collections.ed.ac.uk/art/record/20769?highlight=*:*,NA,NA
Barbara Mackie,Portrait of a Seated Woman,NA,NA,Gained her Diploma from ECA in 1972.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1872,https://collections.ed.ac.uk/art/record/20999?highlight=*:*,NA,NA
Barbara Strachan,Portrait of a Young Woman,03 Nov 1958,20th century; 1950s,Gained her Diploma from ECA in 1959.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1740,https://collections.ed.ac.uk/art/record/20867?highlight=*:*,NA,NA
Barbara Strachan,Portrait of an Old Woman,1959,20th century; 1950s,Gained her Diploma from ECA in 1959.,ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1741,https://collections.ed.ac.uk/art/record/20868?highlight=*:*,NA,NA
Barbara Strachan,Portrait of a Woman,1959,20th century; 1950s,Gained her Diploma from ECA in 1959.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU1742,https://collections.ed.ac.uk/art/record/20869?highlight=*:*,NA,NA
Barbara Strachan,Seated Female Nude,03 Feb 1959,20th century; 1950s,Gained her Diploma from ECA in 1959.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1743,https://collections.ed.ac.uk/art/record/20870?highlight=*:*,NA,NA
Barbara Strachan,Standing Female Nude holding Basket,25 Jan 1959,20th century; 1950s,Gained her Diploma from ECA in 1959.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1744,https://collections.ed.ac.uk/art/record/20871?highlight=*:*,NA,NA
Barreton,Seated Man in Traditional Dress,1960s; Undated but found amongst collection of ECA Diploma works from 1960s.,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2164,https://collections.ed.ac.uk/art/record/21290?highlight=*:*,NA,NA
Beatrice Patricia Grimshaw,Piana degli Greci,1958,1950s; 20th century,"Full length portrait of two seated female figures, the figure on the left facing the viewer and the figure on the right in three-quarter view. Both figures have long dark hair and long dark dresses.",Pen and Wash/Drawing; paper (fibre product),35.1cm (W) x 47.7cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pen and wash drawings,NA,EU3572,https://collections.ed.ac.uk/art/record/53481?highlight=*:*,NA,NA
Beatrice Patricia Grimshaw,Unknown,1958,1950s; 20th century,"Street scene in blue and black. A figure with two children stands at the centre of the work. To the right of the composition three figures walk away from, and one figure walks towards, the viewer. Work has been gridded for transposition.",paint (coating); paper (fibre product),36.5cm (W) x 25cm (H),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU3571,https://collections.ed.ac.uk/art/record/53480?highlight=*:*,NA,NA
Beatrice Patricia Grimshaw,Firenze Winter,1958,1950s; 20th century,"Silhouette of standing figure at right side of composition, with semi-abstracted green, red, blue and brown colour fields creating space and suggesting buildings.",paint (coating); paper (fibre product),19.2cm (W) x 35cm (H),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU3569,https://collections.ed.ac.uk/art/record/53478?highlight=*:*,NA,NA
Beatrice Patricia Grimshaw,Sicily Landscape,1958,1950s; 20th century,"Black and white semi-abstracted landscape featuring the outline of hills, with a central gridded section to indicate fields.",Pen and Wash/Drawing; paper (fibre product),38.4cm (W) x 31.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pen and wash drawings,NA,EU3570,https://collections.ed.ac.uk/art/record/53479?highlight=*:*,NA,NA
Becky Campbell,My Boots Are Wet from the grass,2006,2000s,"3 layer Screenprint of an abstract landscape. Bakcground layer shows a gradient of earth tones, with grey and black shapes overlayed to create the impression of a landscape.",Print,NA,Art Collection; Art Collection; Edinburgh College of Art,screen prints,"Edition 1/6 Signature from artist, however, unable to read",EU5190,https://collections.ed.ac.uk/art/record/99962?highlight=*:*,NA,NA
"Ben Nicholson (b.1894, d.1982)",Unknown (harbour drawing),NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3027,https://collections.ed.ac.uk/art/record/53471?highlight=*:*,NA,NA
Ben Zion,Prophet,1953,20th century; 1950s,NA,NA,48cm W x 69cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),Signed,EU2559,https://collections.ed.ac.uk/art/record/21684?highlight=*:*,NA,NA
Bennett,Untitled,NA,NA,"Pencil drawing of male human body, showing only muscles.",pencil (marking material)/materials (substances),55.8 cm (L) x 24.4 cm (W),Art Collection; Edinburgh College of Art,pencil drawings,"Stamped by ""College of Art, Lauriston Place, Edinburgh 3"". Number 30 on top right corner in pencil Number 7, circled on left bottom corner in blue ink. Named on bottom left corner in pencil.",EU5684,https://collections.ed.ac.uk/art/record/111042?highlight=*:*,NA,NA
Bernard Reder,Flowers Behind the Door,1953,20th century; 1950s,Nine colour woodcut,NA,64cm W x 80cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); woodcuts (prints),NA,EU2533,https://collections.ed.ac.uk/art/record/21658?highlight=*:*,NA,NA
Bertha Roxburgh,Standing Female Nude,1958,20th century; 1950s,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2023,https://collections.ed.ac.uk/art/record/21150?highlight=*:*,NA,NA
Beth D. Mitchell,Landscape,1966,20th century; 1960s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3230,https://collections.ed.ac.uk/art/record/22675?highlight=*:*,NA,NA
Betty Elston,Unknown,1949,1940s,Three female figures in matching clothing lean against the railing of a city park containing leafless trees. Tenement buildings in background.,paint (coating); crayons (drawing material),22.8cm (W) x 17.1cm (H),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU3510,https://collections.ed.ac.uk/art/record/50584?highlight=*:*,NA,NA
Betty Elston,Unknown,1949,1940s,Forest landscape with large tree to left of composition and clearing in foreground.,paint (coating); ink/coating (material)/materials (substances),22.8cm (W) x 17.6cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); ink,NA,EU3508,https://collections.ed.ac.uk/art/record/50582?highlight=*:*,NA,NA
Betty Elston,Unknown,1949,1940s,"Landscape of city square with low railing in foreground, leafless trees throughout, the silhouette of a statue on the right of the composition, and the suggestion of buildings through fog in the background.",paint (coating); ink/coating (material)/materials (substances),22.8cm (W) x 17.7cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); ink,NA,EU3507,https://collections.ed.ac.uk/art/record/50581?highlight=*:*,NA,NA
Betty Elston,Unknown,1949,1940s,"Landscape of city square with leafless trees throughout, the silhouette of a statue and plinth, and the suggestion of buildings through fog in the background.",paint (coating); ink/coating (material)/materials (substances),22.8cm (W) x 17.7cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); ink,NA,EU3506,https://collections.ed.ac.uk/art/record/50580?highlight=*:*,NA,NA
Betty Elston,Unknown,1949,1940s,Four reclining female nudes with carafe and glasses on tray in foreground. Window in background showing lone figure walking between leafless trees.,Pen and Wash/Drawing,23cm (W) x 20.3cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pen and wash drawings,NA,EU3509,https://collections.ed.ac.uk/art/record/50583?highlight=*:*,NA,NA
Betty Elston,Esme,1949,20th century; 1940s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3250,https://collections.ed.ac.uk/art/record/22694?highlight=*:*,NA,NA
Betty M. Ferguson,Unknown,1938; 1939,1930s; 20th century,Gridded study of male head turned to right of composition and looking upward,graphite (mineral)/inorganic material/materials (substances),24cm (W) x 34.8cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3613,https://collections.ed.ac.uk/art/record/53522?highlight=*:*,NA,NA
Betty M. Ferguson,Portrait of a Woman,1939,20th century; 1930s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2003,https://collections.ed.ac.uk/art/record/21130?highlight=*:*,NA,NA
Betty M. Ferguson,Standing Male Nude,1939,20th century; 1930s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2004,https://collections.ed.ac.uk/art/record/21131?highlight=*:*,NA,NA
Bill Breckervidge,Untitled,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU2332,https://collections.ed.ac.uk/art/record/21458?highlight=*:*,NA,NA
Boris Bućan,Ples,1983,NA,Poster made up of six pieces,NA,67.5cm H x 98.2cm W - all together would measure 202.5cm H x 196.4cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2930,https://collections.ed.ac.uk/art/record/22472?highlight=*:*,NA,NA
Boris Bućan,Vojna Tajna,Unknown,NA,"Six piece poster in black, red and green ink. Large black beast with tails and wings. Writing on right hand side panels.",NA,Each of the six sections measures 67cm H x 98cm W. When joined together it will measure 201cm H x 196cm W.,Art Collection; Edinburgh College of Art,prints (visual works),"No signature marks, just writing that is part of the print.",EU2913,https://collections.ed.ac.uk/art/record/22029?highlight=*:*,NA,NA
Boris Bućan,Nabucco,1983,20th century; 1980s,"Blue, cream and black six piece poster for the opera Nabucco.",NA,67.7cm H x 96.7cm W. When joined together will measure 203.1cm H x 194cm W,Art Collection; Edinburgh College of Art,NA,None,EU2915,https://collections.ed.ac.uk/art/record/22031?highlight=*:*,NA,NA
Boris Bućan,Tajna Crne Ruke,1983,20th century; 1980s,"Black, gold and red print of abstract graphic scene with black border with white writing.",NA,"Each piece measures 68cm H x 95cm W. When joined together, the poster will measure 204cm H x 95cm W.",Art Collection; Edinburgh College of Art,NA,None,EU2914,https://collections.ed.ac.uk/art/record/22030?highlight=*:*,NA,NA
Boris Bućan,Nikola Subić Zrinjski,1983,20th century; 1980s,"Red, orange, blue, cream and black six part poster featuring a male figure with two abstract figures",NA,Each of the six pieces measures 68cm H x 98.5cm W. All together the poster will meaure - 204cm H x 197cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2917,https://collections.ed.ac.uk/art/record/22033?highlight=*:*,NA,NA
Boris Bućan,Dušan Jovanović: Vojna Tajna,1983,20th century; 1980s,"Blue, pink and red six piece poster.",NA,"Six parts, each measuring 98cm W x 67.5cm H. When put together 196cm W x 202.5cm H",Art Collection; Edinburgh College of Art,NA,NA,EU2916,https://collections.ed.ac.uk/art/record/22032?highlight=*:*,NA,NA
Boris Bućan,La bohème,1984,20th century; 1980s,"Silver, blue, black scribbled/abstract gothic architechtural type drawing. 6 part poster",NA,Each of the six pieces measures 68.5cm H x 98.8cm W. When put together it will meaure - 205.5 cm H x 197.6cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2918,https://collections.ed.ac.uk/art/record/22034?highlight=*:*,NA,NA
Boris Bućan,Roko I Cicibela,1983,20th century; 1980s,Poster made up of six pieces - ONE MISSING. Very colourful striped pattern design.,NA,Each piece measures 67.8cm H x 98.4cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2926,https://collections.ed.ac.uk/art/record/22042?highlight=*:*,NA,NA
Boris Bućan,29 Split Summer Festival,1983,20th century; 1980s,"Poster for Split Summer Festival, made up of 6 parts - cafe scene with alien like creatures",NA,Each piece measures 67.7cm H x 97.8cm W - when put together poster will measure 203.1cm H x 195.6cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2925,https://collections.ed.ac.uk/art/record/22041?highlight=*:*,NA,NA
Boris Bućan,William Shakespeare Otelo,1983,20th century; 1980s,Poster made up of six parts - abstract design depicting two tigers,NA,Each piece measures 66.8cm H x 97.3cm W. All together poster would measure 200.4cm H x 194.6cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2924,https://collections.ed.ac.uk/art/record/22040?highlight=*:*,NA,NA
Boris Bućan,Tijardovié,1983,20th century; 1980s,"Six piece poster in yellow, black, purple and turquoise - lady in hat",NA,Each of the six pieces measures 67.3cm H x 97.6cm W - all together will measure 201.9cm H x 195.2cm W,Art Collection; Edinburgh College of Art,NA,B. Bucan,EU2923,https://collections.ed.ac.uk/art/record/22039?highlight=*:*,NA,NA
Boris Bućan,Vojna Tajna,1983,NA,6 piece print,NA,Each piece measures 68.2cm H x 98 cm W. When joined together poster would measure 204cm H x 196cm W,Art Collection; Edinburgh College of Art,NA,Boris Bućan,EU2929,https://collections.ed.ac.uk/art/record/22471?highlight=*:*,NA,NA
Boris Bućan,Traviata,Unknown,NA,Six part print - one section (d) is missing,NA,Each piece measures 67.7cm H x 98cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2928,https://collections.ed.ac.uk/art/record/22470?highlight=*:*,NA,NA
Boris Bućan,Tskihrva,Unknown,NA,"Red, grey, black and white six piece print - two pieces are missing.",NA,Each piece measures 68cm H x 98.1cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2927,https://collections.ed.ac.uk/art/record/22043?highlight=*:*,NA,NA
Boris Bućan,Don Juan,1983,20th century; 1980s,"Grey, black and white six piece poster",NA,Each piece measures 98.2cm W x 68cm H - when pieces together it will measure 196.4cm W x 204cm H,Art Collection; Edinburgh College of Art,NA,NA,EU2922,https://collections.ed.ac.uk/art/record/22038?highlight=*:*,NA,NA
Boris Bućan,Mefisto,1983,NA,"Blue, purple, grey, red, black and white six piece poster - a door with a priest like character standing in a large camouflage gown",NA,Each piece measures 98.5cm W x 67.6cm H - all together will measure 197cm W x 202.8cm H,Art Collection; Edinburgh College of Art,NA,NA,EU2921,https://collections.ed.ac.uk/art/record/22037?highlight=*:*,NA,NA
Boris Bućan,Plakati Hrvatskog Narodnog Kazališta Split,1984,20th century; 1980s,"Title translates as: Posters Croatian National Theatre in Split. Green, black, white, turquoise and red poster, made up of six pieces",NA,"Six pieces, each measuring 97.3cm W x 67.9cm H - all together will measure 194cm W x 203.7cm H",Art Collection; Edinburgh College of Art,NA,Poster for the Boris Bućan exhibition held at Edinburgh College of Art in 1984,EU2920,https://collections.ed.ac.uk/art/record/22036?highlight=*:*,NA,NA
BORIS JOERI BRINK,Untitled,1997,20th century; 1990s,"Large colour print, blue background, grey detailed slate/rock background and two brightly coloured (orange, yellow, blue, brown) figures - one male in a suit and one female in a skirt and bare chest",NA,58cm H x 66.4cm W,Art Collection; Edinburgh College of Art,mixed media works; prints (visual works),"edition no., artist name and date - 1/5, Boris Joeri Brink, '97",EU2867,https://collections.ed.ac.uk/art/record/21985?highlight=*:*,NA,NA
Bosko Karanovic,Girl,Unknown,NA,Woodcut/ Mixed Media,NA,64cm W x 80cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); woodcuts (prints),Bosko Karanovic Signature,EU2523,https://collections.ed.ac.uk/art/record/21648?highlight=*:*,NA,NA
Braso,Standing Male Nude,1957,20th century; 1950s,Drawing for ECA examination 1957.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2120,https://collections.ed.ac.uk/art/record/21247?highlight=*:*,NA,NA
Breda Flanagan,Untitled,1997,20th century; 1990s,"Print made using two techniques: a screen print comprising of a red base and orange circle, with a lithograph superimposed in black",NA,76.1cm H x 57.1cm W,Art Collection; Edinburgh College of Art,NA,Breda Flanagan signature,EU2745,https://collections.ed.ac.uk/art/record/21868?highlight=*:*,NA,NA
Brent D. Millar,Unknown,1969,1960s,Abstract architectural elements with white gouache and areas of colour,graphite (mineral)/inorganic material/materials (substances); gouache (paint)/watercolour (paint)/paint (coating),59cm (W) x 50cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3304,https://collections.ed.ac.uk/art/record/50378?highlight=*:*,NA,NA
Brent D. Millar,Untitled,1972,20th century; 1970s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3127,https://collections.ed.ac.uk/art/record/22572?highlight=*:*,NA,NA
Brent Miller,Cow in Interior,1974,20th century; 1970s,Abstract lithograph of a cow in a room,NA,67cm W x 80cm H (framed),Art Collection; Edinburgh College of Art,prints (visual works); lithographs,Brent Miller signature,EU2555,https://collections.ed.ac.uk/art/record/21680?highlight=*:*,NA,NA
Brian D. Henderson,Interior,Circa 1975,20th century; 1970s; 1980s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3178,https://collections.ed.ac.uk/art/record/22623?highlight=*:*,NA,NA
Bridget Steed,Rosa Regolit,2007,2000s,Photo intaglio print of a rose stem with cheap paper lightshades superimposed onto the image to replace the actual roses.,ink/coating (material)/materials (substances); paper (fibre product),NA,Edinburgh College of Art; Art Collection; Art Collection,prints (visual works); photogravures,Edition 1/4,EU5201,https://collections.ed.ac.uk/art/record/99973?highlight=*:*,NA,NA
Bridget Steed,Whale,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU3965,https://collections.ed.ac.uk/art/record/93374?highlight=*:*,NA,NA
Bridget Steed,Self portrait,2006,2000s,A 2 sided print depicting the artist in both a visual and written self portrait. 'This edition documents a project to record my portrait over one month. I drew and photographed myself at the end of every day between October 6th and November 5th 2005. The drawings have become one written self portrait and the photographs capture me. Each print is the evidence of one day.',paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,screen prints,Edition 11/30,EU5084,https://collections.ed.ac.uk/art/record/99857?highlight=*:*,NA,NA
Britton,Unknown,NA,20th century,"Bright pastel drawing of corridor with building on left, columns on right, and two figures in the distance. Pencil underdrawing visible and exposed in top portion.",pastels (crayons)/crayons (drawing material),42.5cm (W) x 46.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pastel,NA,EU3300,https://collections.ed.ac.uk/art/record/50374?highlight=*:*,NA,NA
Brodie,"Figure in a Garden, Florence",1946,1940s,"Figure standing in garden to the left of work, with the centre taken over by a large plant",graphite (mineral)/inorganic material/materials (substances); pastels (crayons)/crayons (drawing material),37cm (W) x 53cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; pastel,NA,EU3421,https://collections.ed.ac.uk/art/record/50495?highlight=*:*,NA,NA
Bull,Still Life with Teapot,NA,NA,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),92.5 x 86 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1630,https://collections.ed.ac.uk/art/record/20757?highlight=*:*,Still Life with Teapot and Flower,NA
C Byron,Seated Female Nude,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1790,https://collections.ed.ac.uk/art/record/20917?highlight=*:*,NA,NA
C Byron,Standing Female Nude,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1789,https://collections.ed.ac.uk/art/record/20916?highlight=*:*,NA,NA
C Byron,Standing Woman,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances); Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1788,https://collections.ed.ac.uk/art/record/20915?highlight=*:*,NA,NA
C Byron,Portrait of a Man Seated,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1787,https://collections.ed.ac.uk/art/record/20914?highlight=*:*,NA,NA
C Byron,Portrait of a Man,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1786,https://collections.ed.ac.uk/art/record/20913?highlight=*:*,NA,NA
C Pouzadoux,Bust of St. Joseph,1912,20th century; 1910s,"Bust only of the full size standing figure. Cast from an original: St. Joseph, c.1255-75, Left jamb of portal of Reims Cathedral, Photo pre-1914. Seamline on face and left shoulder.",Casting Plaster/plaster/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art; Cast Collection,NA,NA,EU1423,https://collections.ed.ac.uk/art/record/20550?highlight=*:*,NA,NA
C Pulsford,Abstract,NA,NA,No further information about this ECA student.,Pen and Wash/Drawing; watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1957,https://collections.ed.ac.uk/art/record/21084?highlight=*:*,NA,NA
C Stiven,Portrait with a Beret,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2311,https://collections.ed.ac.uk/art/record/21437?highlight=*:*,NA,NA
C. K.?,Lit Doorway,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3095,https://collections.ed.ac.uk/art/record/22541?highlight=*:*,NA,NA
Callum Watson,Memory and Process,2015,NA,"Awarded the 2015 ECA Art Collections Purchase Prize Three prints of the Liban and Jerozolimska quarries and the Plaszow plateau, site of the Płaszów Concentration Camp.",paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3899,https://collections.ed.ac.uk/art/record/53779?highlight=*:*,NA,NA
Calum Wilson,View of a Street,1980,20th century; 1980s,NA,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,watercolours (paintings); pencil drawings,NA,EU2328,https://collections.ed.ac.uk/art/record/21454?highlight=*:*,NA,NA
Cameron,Unknown,1964,1960s; 20th century,Full length portrait of reclining female figure on chaise longue. Figure has short hair and is wearing a collared shirt and mid-length skirt. Facing right of composition.,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),54cm (W) x 38.4cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; watercolours (paintings),NA,EU3677,https://collections.ed.ac.uk/art/record/53586?highlight=*:*,NA,NA
Campbell,Portrait of a Man,1959,20th century; 1950s,Gained a Diploma from ECA in 1959.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1844,https://collections.ed.ac.uk/art/record/20971?highlight=*:*,NA,NA
Cant,Untitled,1962,NA,Drawing on a man sitting down,graphite (mineral)/inorganic material/materials (substances),49.7cm H x 28.1cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"Bottom right hand corner the artist's surname, course title and date has been written in pen. Underneath there seems to be some pencil mark that has been rubbed out, and is now illegible. In the bottom left hand corner there is the remains of a yellow sticker",EU2956,https://collections.ed.ac.uk/art/record/22497?highlight=*:*,NA,NA
Cant,Untitled,1962,20th century; 1960s,Portrait of an elderly man. Part of Cant's diploma portfolio,NA,51.5cm H x 45cm W,Art Collection; Edinburgh College of Art,drawings (visual works),NA,EU2638,https://collections.ed.ac.uk/art/record/21763?highlight=*:*,NA,NA
Carl O Ekevall,Untitled,1962,NA,Two nudes lying on a beach,Print,Mounted: 52.7cm (W) x 39.3cm (H) Unmounted: 45.7cm (W) x 32.5cm (H),Art Collection; Edinburgh College of Art,prints (visual works); screen prints,Signature on reverse,EU4260,https://collections.ed.ac.uk/art/record/99496?highlight=*:*,NA,NA
Carl O Ekevall,Untitled,1962,NA,Drawing of elderly nude male,Drawing; charcoal (material)/plant material/materials (substances),Mounted: 42.3cm (W) x 60.5cm (H) Unmounted: 35.4cm (W) x 53cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); charcoal drawings,Unfinished sketch of a nude woman on the back,EU4261,https://collections.ed.ac.uk/art/record/99497?highlight=*:*,NA,NA
Carol Binnie,15th Century Italian,Feb 1982,20th century; 1980s,Profile of a woman's face and upper torso. Looks almost like a replica roman artwork. Printed on very thin (perhaps homemade) paper,NA,27.8cm (H) x 23cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"Title - 15th Century Italian. Artists name, date and subject - Carol Binnie, Fine Art 2 (in Roman numerals), Feb' 82",EU2858,https://collections.ed.ac.uk/art/record/21976?highlight=*:*,NA,NA
Carol Handyside,Untitled,1963,1960s,"Monoprint of an interior living room like space, with four figures interacting within the space.",Print,NA,Art Collection; Edinburgh College of Art,prints (visual works); monoprints (painting and printing works),No signature,EU5069,https://collections.ed.ac.uk/art/record/99842?highlight=*:*,NA,NA
Carol Handyside,Untitled,1963,1960s,Watercolour/block colour painting of a table setting including a waterjug and plant,paint (coating); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000; watercolours (paintings),No signature,EU5068,https://collections.ed.ac.uk/art/record/99841?highlight=*:*,NA,NA
Carol Handyside,Untitled,1964,1960s,Gouache and ink painting of a cockerel,gouache (paint)/watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000; ink,No signature,EU5067,https://collections.ed.ac.uk/art/record/99840?highlight=*:*,NA,NA
Carol Handyside,Peacock,1960s; Undated but found amongst ECA artworks from 1960s.,20th century; 1960s,NA,Pen and Wash/Drawing; watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,pen and wash drawings; watercolours (paintings),NA,EU2162,https://collections.ed.ac.uk/art/record/21288?highlight=*:*,NA,NA
Carol Handyside,Unknown,1962,1960s,Nude male figure depicted from behind. Standing with sword and three-point hat with arm raised in air.,watercolour (paint)/paint (coating),34cm (W) x 55.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3406,https://collections.ed.ac.uk/art/record/50480?highlight=*:*,NA,NA
Carole Danielson,Untitled,1964,NA,Drawing of a man wearing a green tie.,pastels (crayons)/crayons (drawing material),40.2cm H x 30.2cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pastel,Bottom left of the drawing 'Carole Danielson. DIP. 1964'. Bottom right of the drawing is the ECA stamp. The artists surname has been written on the back.,EU2942,https://collections.ed.ac.uk/art/record/22483?highlight=*:*,NA,NA
Carole V Danielson,Portrait of a Woman,1964,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2220,https://collections.ed.ac.uk/art/record/21346?highlight=*:*,NA,NA
Carole V Danielson,Man in Vest,1964,20th century; 1960s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3219,https://collections.ed.ac.uk/art/record/22664?highlight=*:*,NA,NA
Caroline Boyle,Ship in the Dockyard,NA,NA,NA,Pen and Wash/Drawing; graphite (mineral)/inorganic material/materials (substances); chalk,NA,Art Collection; Edinburgh College of Art,pen and wash drawings; pencil drawings,NA,EU2376,https://collections.ed.ac.uk/art/record/21502?highlight=*:*,NA,NA
Caroline Conway,Placa del Sol,1991,20th century; 1990s,"People drinking at tables in the forground, in the background a band performs onstage. Artist's Print.",NA,105cm H x 74.6cm W,Art Collection; Edinburgh College of Art,NA,Caroline Conway signature,EU2716,https://collections.ed.ac.uk/art/record/21839?highlight=*:*,NA,NA
